bcs_raw,is_good_angle_frame,bag_id,frame_key,bad_reasons,frame_angle_median,figure_path
4,0,BCS4__Cow_23,510,too_few_valid_profiles;no_valid_angle,,03_quality_controlled_dorsal_angle\debug_profiles\BCS4_good0_027_BCS4__Cow_23_510.png
4,0,BCS4__Cow_33,1500,short_trunk_plateau;too_few_valid_profiles;no_valid_angle,,03_quality_controlled_dorsal_angle\debug_profiles\BCS4_good0_028_BCS4__Cow_33_1500.png
4,0,BCS4__Cow_42,255,too_few_valid_profiles,174.36187744140625,03_quality_controlled_dorsal_angle\debug_profiles\BCS4_good0_029_BCS4__Cow_42_255.png
4,0,BCS4__Cow_9_NOTAG,255,short_trunk_plateau;too_few_valid_profiles,175.01654052734375,03_quality_controlled_dorsal_angle\debug_profiles\BCS4_good0_030_BCS4__Cow_9_NOTAG_255.png
5,1,BCS5__Cow_44_3008,30,,142.08204650878906,03_quality_controlled_dorsal_angle\debug_profiles\BCS5_good1_031_BCS5__Cow_44_3008_30.png
5,1,BCS5__Cow_25,675,,168.94972229003906,03_quality_controlled_dorsal_angle\debug_profiles\BCS5_good1_032_BCS5__Cow_25_675.png
5,1,BCS5__Cow_43,135,,170.6847686767578,03_quality_controlled_dorsal_angle\debug_profiles\BCS5_good1_033_BCS5__Cow_43_135.png
5,1,BCS5__Cow_37,240,,172.15782165527344,03_quality_controlled_dorsal_angle\debug_profiles\BCS5_good1_034_BCS5__Cow_37_240.png
5,1,BCS5__Cow_13,330,,174.8781280517578,03_quality_controlled_dorsal_angle\debug_profiles\BCS5_good1_035_BCS5__Cow_13_330.png
5,0,BCS5__Cow_10_0029,165,short_trunk_plateau,173.1807098388672,03_quality_controlled_dorsal_angle\debug_profiles\BCS5_good0_036_BCS5__Cow_10_0029_165.png
5,0,BCS5__Cow_25,1080,too_few_valid_profiles;no_valid_angle,,03_quality_controlled_dorsal_angle\debug_profiles\BCS5_good0_037_BCS5__Cow_25_1080.png
5,0,BCS5__Cow_28_4024,45,short_trunk_plateau;too_few_valid_profiles;no_valid_angle,,03_quality_controlled_dorsal_angle\debug_profiles\BCS5_good0_038_BCS5__Cow_28_4024_45.png
5,0,BCS5__Cow_34_1,105,too_few_valid_profiles,173.65151977539062,03_quality_controlled_dorsal_angle\debug_profiles\BCS5_good0_039_BCS5__Cow_34_1_105.png
5,0,BCS5__Cow_9_NOTG,345,too_few_valid_profiles;no_valid_angle,,03_quality_controlled_dorsal_angle\debug_profiles\BCS5_good0_040_BCS5__Cow_9_NOTG_345.png
6,1,BCS6__Cow_9_1044,75,,160.8114776611328,03_quality_controlled_dorsal_angle\debug_profiles\BCS6_good1_041_BCS6__Cow_9_1044_75.png
6,1,BCS6__Cow_36,231,,170.80783081054688,03_quality_controlled_dorsal_angle\debug_profiles\BCS6_good1_042_BCS6__Cow_36_231.png
6,1,BCS6__Cow_18,447,,172.34835815429688,03_quality_controlled_dorsal_angle\debug_profiles\BCS6_good1_043_BCS6__Cow_18_447.png
6,1,BCS6__Cow_4_103,645,,173.34446716308594,03_quality_controlled_dorsal_angle\debug_profiles\BCS6_good1_044_BCS6__Cow_4_103_645.png
6,1,BCS6__Cow_19_29,291,,176.1863250732422,03_quality_controlled_dorsal_angle\debug_profiles\BCS6_good1_045_BCS6__Cow_19_29_291.png
6,0,BCS6__Cow_11_07,280,short_trunk_plateau,175.2655029296875,03_quality_controlled_dorsal_angle\debug_profiles\BCS6_good0_046_BCS6__Cow_11_07_280.png
6,0,BCS6__Cow_22_1004,155,short_trunk_plateau;too_few_valid_profiles;no_valid_angle,,03_quality_controlled_dorsal_angle\debug_profiles\BCS6_good0_047_BCS6__Cow_22_1004_155.png
6,0,BCS6__Cow_29_NOTAG,109,short_trunk_plateau,174.377685546875,03_quality_controlled_dorsal_angle\debug_profiles\BCS6_good0_048_BCS6__Cow_29_NOTAG_109.png
6,0,BCS6__Cow_3_25,907,short_trunk_plateau;too_few_valid_profiles;no_valid_angle,,03_quality_controlled_dorsal_angle\debug_profiles\BCS6_good0_049_BCS6__Cow_3_25_907.png
6,0,BCS6__Cow_9_1044,99,short_trunk_plateau,168.4417266845703,03_quality_controlled_dorsal_angle\debug_profiles\BCS6_good0_050_BCS6__Cow_9_1044_99.png
