episode_id,animal_id,bag_id,bcs_raw,label5,label3,frame_count
Cow_11_1,Cow_11,BCS2__Cow_11_1,2,0,0,52
Cow_11_2,Cow_11,BCS2__Cow_11_2,2,0,0,49
Cow_11_07,Cow_11,BCS6__Cow_11_07,6,4,2,41
Cow_11_0018,Cow_11,BCS4__Cow_11_0018,4,2,1,4
Cow_11_0075,Cow_11,BCS4__Cow_11_0075,4,2,1,4
Cow_12,Cow_12,BCS3__Cow_12,3,1,0,23
Cow_12_2014,Cow_12,BCS6__Cow_12_2014,6,4,2,49
Cow_12_6006,Cow_12,BCS5__Cow_12_6006,5,3,1,3
Cow_12_NOTAG,Cow_12,BCS5__Cow_12_NOTAG,5,3,1,4
Cow_13,Cow_13,BCS5__Cow_13,5,3,1,23
Cow_13_66,Cow_13,BCS6__Cow_13_66,6,4,2,46
Cow_13_8001,Cow_13,BCS5__Cow_13_8001,5,3,1,4
Cow_13_9025,Cow_13,BCS4__Cow_13_9025,4,2,1,4
Cow_14,Cow_14,BCS3__Cow_14,3,1,0,17
Cow_14_0011,Cow_14,BCS3__Cow_14_0011,3,1,0,7
Cow_14_1044,Cow_14,BCS5__Cow_14_1044,5,3,1,3
Cow_15,Cow_15,BCS5__Cow_15,5,3,1,29
Cow_15_68,Cow_15,BCS4__Cow_15_68,4,2,1,3
Cow_16,Cow_16,BCS3__Cow_16,3,1,0,44
Cow_16_1,Cow_16,BCS3__Cow_16_1,3,1,0,3
Cow_16_2,Cow_16,BCS3__Cow_16_2,3,1,0,4
Cow_16_06,Cow_16,BCS6__Cow_16_06,6,4,2,76
Cow_16_1004,Cow_16,BCS3__Cow_16_1004,3,1,0,4
Cow_17,Cow_17,BCS4__Cow_17,4,2,1,26
Cow_17_17,Cow_17,BCS5__Cow_17_17,5,3,1,8
Cow_17_72,Cow_17,BCS5__Cow_17_72,5,3,1,3
Cow_18,Cow_18,BCS6__Cow_18,6,4,2,46
Cow_18_32,Cow_18,BCS6__Cow_18_32,6,4,2,57
Cow_18_1067,Cow_18,BCS4__Cow_18_1067,4,2,1,2
Cow_19,Cow_19,BCS4__Cow_19,4,2,1,65
Cow_19_29,Cow_19,BCS6__Cow_19_29,6,4,2,61
Cow_19_0037,Cow_19,BCS4__Cow_19_0037,4,2,1,6
Cow_20,Cow_20,BCS5__Cow_20,5,3,1,18
Cow_20_10,Cow_20,BCS5__Cow_20_10,5,3,1,2
Cow_20_0029,Cow_20,BCS3__Cow_20_0029,3,1,0,4
Cow_21,Cow_21,BCS5__Cow_21,5,3,1,26
Cow_21_4079,Cow_21,BCS5__Cow_21_4079,5,3,1,2
Cow_21_8029,Cow_21,BCS2__Cow_21_8029,2,0,0,61
Cow_22,Cow_22,BCS3__Cow_22,3,1,0,79
Cow_22_1,Cow_22,BCS3__Cow_22_1,3,1,0,7
Cow_22_1004,Cow_22,BCS6__Cow_22_1004,6,4,2,16
Cow_22_6005,Cow_22,BCS4__Cow_22_6005,4,2,1,5
Cow_23,Cow_23,BCS4__Cow_23,4,2,1,42
Cow_23_1,Cow_23,BCS4__Cow_23_1,4,2,1,38
Cow_23_49,Cow_23,BCS5__Cow_23_49,5,3,1,3
Cow_23_1067,Cow_23,BCS5__Cow_23_1067,5,3,1,5
Cow_24,Cow_24,BCS5__Cow_24,5,3,1,25
Cow_24_08,Cow_24,BCS6__Cow_24_08,6,4,2,31
Cow_24_7022,Cow_24,BCS5__Cow_24_7022,5,3,1,4
Cow_25,Cow_25,BCS5__Cow_25,5,3,1,66
Cow_25_66,Cow_25,BCS3__Cow_25_66,3,1,0,5
Cow_25_6005,Cow_25,BCS5__Cow_25_6005,5,3,1,4
Cow_26,Cow_26,BCS4__Cow_26,4,2,1,15
Cow_26_6,Cow_26,BCS6__Cow_26_6,6,4,2,61
Cow_26_5051,Cow_26,BCS4__Cow_26_5051,4,2,1,12
Cow_27,Cow_27,BCS5__Cow_27,5,3,1,42
Cow_27_1,Cow_27,BCS5__Cow_27_1,5,3,1,2
Cow_27_14,Cow_27,BCS5__Cow_27_14,5,3,1,2
Cow_27_9008,Cow_27,BCS4__Cow_27_9008,4,2,1,7
Cow_28,Cow_28,BCS5__Cow_28,5,3,1,30
Cow_28_3083,Cow_28,BCS6__Cow_28_3083,6,4,2,46
Cow_28_4024,Cow_28,BCS5__Cow_28_4024,5,3,1,6
Cow_29,Cow_29,BCS5__Cow_29,5,3,1,30
Cow_29_7007,Cow_29,BCS4__Cow_29_7007,4,2,1,5
Cow_29_NOTAG,Cow_29,BCS6__Cow_29_NOTAG,6,4,2,46
Cow_30,Cow_30,BCS4__Cow_30,4,2,1,14
Cow_30_30,Cow_30,BCS5__Cow_30_30,5,3,1,7
Cow_30_2021,Cow_30,BCS5__Cow_30_2021,5,3,1,3
Cow_31,Cow_31,BCS4__Cow_31,4,2,1,13
Cow_31_15,Cow_31,BCS5__Cow_31_15,5,3,1,4
Cow_31_2024,Cow_31,BCS5__Cow_31_2024,5,3,1,5
Cow_32,Cow_32,BCS5__Cow_32,5,3,1,15
Cow_32_34,Cow_32,BCS6__Cow_32_34,6,4,2,61
Cow_32_0035,Cow_32,BCS4__Cow_32_0035,4,2,1,8
Cow_33,Cow_33,BCS4__Cow_33,4,2,1,105
Cow_33_3008,Cow_33,BCS3__Cow_33_3008,3,1,0,2
Cow_34,Cow_34,BCS5__Cow_34,5,3,1,40
Cow_34_1,Cow_34,BCS5__Cow_34_1,5,3,1,18
Cow_35,Cow_35,BCS6__Cow_35,6,4,2,45
Cow_35_1044,Cow_35,BCS4__Cow_35_1044,4,2,1,3
Cow_36,Cow_36,BCS6__Cow_36,6,4,2,45
Cow_36_1,Cow_36,BCS6__Cow_36_1,6,4,2,50
Cow_37,Cow_37,BCS5__Cow_37,5,3,1,28
Cow_37_and_38,Cow_37,BCS5__Cow_37_and_38,5,3,1,24
Cow_41,Cow_41,BCS4__Cow_41,4,2,1,61
Cow_41_1,Cow_41,BCS4__Cow_41_1,4,2,1,4
Cow_42,Cow_42,BCS4__Cow_42,4,2,1,27
Cow_43,Cow_43,BCS5__Cow_43,5,3,1,38
Cow_44_1,Cow_44,BCS4__Cow_44_1,4,2,1,46
Cow_44_3008,Cow_44,BCS5__Cow_44_3008,5,3,1,10
Cow_45,Cow_45,BCS5__Cow_45,5,3,1,25
Cow_45_9025,Cow_45,BCS6__Cow_45_9025,6,4,2,46
Cow_46,Cow_46,BCS3__Cow_46,3,1,0,60
Cow_46_1,Cow_46,BCS3__Cow_46_1,3,1,0,39
Cow_46_2,Cow_46,BCS3__Cow_46_2,3,1,0,6
Cow_47_1,Cow_47,BCS4__Cow_47_1,4,2,1,7
Cow_47_68,Cow_47,BCS6__Cow_47_68,6,4,2,31
Cow_48,Cow_48,BCS4__Cow_48,4,2,1,13
Cow_48_1018,Cow_48,BCS5__Cow_48_1018,5,3,1,3
Cow_49,Cow_49,BCS4__Cow_49,4,2,1,9
Cow_49_72,Cow_49,BCS5__Cow_49_72,5,3,1,2
Cow_50,Cow_50,BCS5__Cow_50,5,3,1,39
Cow_50_49,Cow_50,BCS5__Cow_50_49,5,3,1,3
Cow_51,Cow_51,BCS4__Cow_51,4,2,1,4
Cow_51_0035,Cow_51,BCS4__Cow_51_0035,4,2,1,5
Cow_52_29,Cow_52,BCS6__Cow_52_29,6,4,2,61
Cow_53,Cow_53,BCS3__Cow_53,3,1,0,7
Cow_53_30,Cow_53,BCS5__Cow_53_30,5,3,1,13
Cow_54,Cow_54,BCS5__Cow_54,5,3,1,7
Cow_55,Cow_55,BCS4__Cow_55,4,2,1,5
