animal_id,episode_count,frame_count,bcs_values,n_bcs_values,episode_ids,bag_ids,bcs2_episodes,bcs3_episodes,bcs4_episodes,bcs5_episodes,bcs6_episodes,bcs2_frames,bcs3_frames,bcs4_frames,bcs5_frames,bcs6_frames
Cow_12,4,79,"3,5,6",3,Cow_12;Cow_12_2014;Cow_12_6006;Cow_12_NOTAG,BCS3__Cow_12;BCS6__Cow_12_2014;BCS5__Cow_12_6006;BCS5__Cow_12_NOTAG,0,1,0,2,1,0,23,0,7,49
Cow_13,4,77,"4,5,6",3,Cow_13;Cow_13_66;Cow_13_8001;Cow_13_9025,BCS5__Cow_13;BCS6__Cow_13_66;BCS5__Cow_13_8001;BCS4__Cow_13_9025,0,0,1,2,1,0,0,4,27,46
Cow_14,3,27,"3,5",2,Cow_14;Cow_14_0011;Cow_14_1044,BCS3__Cow_14;BCS3__Cow_14_0011;BCS5__Cow_14_1044,0,2,0,1,0,0,24,0,3,0
Cow_15,2,32,"4,5",2,Cow_15;Cow_15_68,BCS5__Cow_15;BCS4__Cow_15_68,0,0,1,1,0,0,0,3,29,0
Cow_16,5,131,"3,6",2,Cow_16;Cow_16_1;Cow_16_2;Cow_16_06;Cow_16_1004,BCS3__Cow_16;BCS3__Cow_16_1;BCS3__Cow_16_2;BCS6__Cow_16_06;BCS3__Cow_16_1004,0,4,0,0,1,0,55,0,0,76
Cow_17,3,37,"4,5",2,Cow_17;Cow_17_17;Cow_17_72,BCS4__Cow_17;BCS5__Cow_17_17;BCS5__Cow_17_72,0,0,1,2,0,0,0,26,11,0
Cow_18,3,105,"4,6",2,Cow_18;Cow_18_32;Cow_18_1067,BCS6__Cow_18;BCS6__Cow_18_32;BCS4__Cow_18_1067,0,0,1,0,2,0,0,2,0,103
Cow_19,3,132,"4,6",2,Cow_19;Cow_19_29;Cow_19_0037,BCS4__Cow_19;BCS6__Cow_19_29;BCS4__Cow_19_0037,0,0,2,0,1,0,0,71,0,61
Cow_20,3,24,"3,5",2,Cow_20;Cow_20_10;Cow_20_0029,BCS5__Cow_20;BCS5__Cow_20_10;BCS3__Cow_20_0029,0,1,0,2,0,0,4,0,20,0
Cow_21,3,89,"2,5",2,Cow_21;Cow_21_4079;Cow_21_8029,BCS5__Cow_21;BCS5__Cow_21_4079;BCS2__Cow_21_8029,1,0,0,2,0,61,0,0,28,0
Cow_22,4,107,"3,4,6",3,Cow_22;Cow_22_1;Cow_22_1004;Cow_22_6005,BCS3__Cow_22;BCS3__Cow_22_1;BCS6__Cow_22_1004;BCS4__Cow_22_6005,0,2,1,0,1,0,86,5,0,16
Cow_23,4,88,"4,5",2,Cow_23;Cow_23_1;Cow_23_49;Cow_23_1067,BCS4__Cow_23;BCS4__Cow_23_1;BCS5__Cow_23_49;BCS5__Cow_23_1067,0,0,2,2,0,0,0,80,8,0
Cow_24,3,60,"5,6",2,Cow_24;Cow_24_08;Cow_24_7022,BCS5__Cow_24;BCS6__Cow_24_08;BCS5__Cow_24_7022,0,0,0,2,1,0,0,0,29,31
Cow_25,3,75,"3,5",2,Cow_25;Cow_25_66;Cow_25_6005,BCS5__Cow_25;BCS3__Cow_25_66;BCS5__Cow_25_6005,0,1,0,2,0,0,5,0,70,0
Cow_26,3,88,"4,6",2,Cow_26;Cow_26_6;Cow_26_5051,BCS4__Cow_26;BCS6__Cow_26_6;BCS4__Cow_26_5051,0,0,2,0,1,0,0,27,0,61
Cow_27,4,53,"4,5",2,Cow_27;Cow_27_1;Cow_27_14;Cow_27_9008,BCS5__Cow_27;BCS5__Cow_27_1;BCS5__Cow_27_14;BCS4__Cow_27_9008,0,0,1,3,0,0,0,7,46,0
Cow_28,3,82,"5,6",2,Cow_28;Cow_28_3083;Cow_28_4024,BCS5__Cow_28;BCS6__Cow_28_3083;BCS5__Cow_28_4024,0,0,0,2,1,0,0,0,36,46
Cow_29,3,81,"4,5,6",3,Cow_29;Cow_29_7007;Cow_29_NOTAG,BCS5__Cow_29;BCS4__Cow_29_7007;BCS6__Cow_29_NOTAG,0,0,1,1,1,0,0,5,30,46
Cow_30,3,24,"4,5",2,Cow_30;Cow_30_30;Cow_30_2021,BCS4__Cow_30;BCS5__Cow_30_30;BCS5__Cow_30_2021,0,0,1,2,0,0,0,14,10,0
Cow_31,3,22,"4,5",2,Cow_31;Cow_31_15;Cow_31_2024,BCS4__Cow_31;BCS5__Cow_31_15;BCS5__Cow_31_2024,0,0,1,2,0,0,0,13,9,0
Cow_32,3,84,"4,5,6",3,Cow_32;Cow_32_34;Cow_32_0035,BCS5__Cow_32;BCS6__Cow_32_34;BCS4__Cow_32_0035,0,0,1,1,1,0,0,8,15,61
Cow_33,2,107,"3,4",2,Cow_33;Cow_33_3008,BCS4__Cow_33;BCS3__Cow_33_3008,0,1,1,0,0,0,2,105,0,0
Cow_35,2,48,"4,6",2,Cow_35;Cow_35_1044,BCS6__Cow_35;BCS4__Cow_35_1044,0,0,1,0,1,0,0,3,0,45
Cow_44,2,56,"4,5",2,Cow_44_1;Cow_44_3008,BCS4__Cow_44_1;BCS5__Cow_44_3008,0,0,1,1,0,0,0,46,10,0
Cow_45,2,71,"5,6",2,Cow_45;Cow_45_9025,BCS5__Cow_45;BCS6__Cow_45_9025,0,0,0,1,1,0,0,0,25,46
Cow_47,2,38,"4,6",2,Cow_47_1;Cow_47_68,BCS4__Cow_47_1;BCS6__Cow_47_68,0,0,1,0,1,0,0,7,0,31
Cow_48,2,16,"4,5",2,Cow_48;Cow_48_1018,BCS4__Cow_48;BCS5__Cow_48_1018,0,0,1,1,0,0,0,13,3,0
Cow_49,2,11,"4,5",2,Cow_49;Cow_49_72,BCS4__Cow_49;BCS5__Cow_49_72,0,0,1,1,0,0,0,9,2,0
Cow_53,2,20,"3,5",2,Cow_53;Cow_53_30,BCS3__Cow_53;BCS5__Cow_53_30,0,1,0,1,0,0,7,0,13,0
