bag_id,animal_id,fold_id,bcs_raw,label5,label3,bag_good_angle_median,good_frame_ratio,good_angle_frame_count,total_frame_count
BCS6__Cow_28_3083,Cow_28,2,6,4,2,172.91555786132812,0.391304347826087,18,46
BCS6__Cow_29_NOTAG,Cow_29,1,6,4,2,170.0252685546875,0.7391304347826086,34,46
BCS6__Cow_2_6006,Cow_2,0,6,4,2,171.92556762695312,1.0,31,31
BCS6__Cow_32_34,Cow_32,0,6,4,2,174.25454711914062,0.11475409836065574,7,61
BCS6__Cow_35,Cow_35,1,6,4,2,172.99356079101562,0.5333333333333333,24,45
BCS6__Cow_36,Cow_36,0,6,4,2,172.3172149658203,0.8222222222222222,37,45
BCS6__Cow_36_1,Cow_36,0,6,4,2,172.13125610351562,0.92,46,50
BCS6__Cow_3_25,Cow_3,2,6,4,2,173.59262084960938,0.4782608695652174,22,46
BCS6__Cow_45_9025,Cow_45,0,6,4,2,168.52015686035156,0.6739130434782609,31,46
BCS6__Cow_47_68,Cow_47,2,6,4,2,171.19375610351562,1.0,31,31
BCS6__Cow_4_103,Cow_4,1,6,4,2,172.57476806640625,0.7704918032786885,47,61
BCS6__Cow_52_29,Cow_52,0,6,4,2,173.07345581054688,0.9016393442622951,55,61
BCS6__Cow_7_9008,Cow_7,0,6,4,2,168.99815368652344,0.3114754098360656,19,61
BCS6__Cow_9_1044,Cow_9,2,6,4,2,167.54396057128906,0.782608695652174,36,46
