test_fold,role,bag_id,animal_id,outer_fold,bcs_raw
0,validation,BCS5__Cow_12_NOTAG,Cow_12,1,5
0,validation,BCS5__Cow_24,Cow_24,2,5
0,validation,BCS5__Cow_24_7022,Cow_24,2,5
0,validation,BCS5__Cow_27,Cow_27,1,5
0,validation,BCS5__Cow_28,Cow_28,2,5
0,validation,BCS5__Cow_28_4024,Cow_28,2,5
0,validation,BCS5__Cow_34,Cow_34,2,5
0,validation,BCS5__Cow_34_1,Cow_34,2,5
0,validation,BCS5__Cow_8_NOTAG,Cow_8,2,5
0,validation,BCS6__Cow_12_2014,Cow_12,1,6
0,validation,BCS6__Cow_24_08,Cow_24,2,6
0,validation,BCS6__Cow_28_3083,Cow_28,2,6
0,test,BCS2__Cow_21_8029,Cow_21,0,2
0,test,BCS3__Cow_16,Cow_16,0,3
0,test,BCS3__Cow_16_1004,Cow_16,0,3
0,test,BCS3__Cow_25_66,Cow_25,0,3
0,test,BCS3__Cow_2_1015,Cow_2,0,3
0,test,BCS3__Cow_46,Cow_46,0,3
0,test,BCS3__Cow_46_1,Cow_46,0,3
0,test,BCS3__Cow_46_2,Cow_46,0,3
0,test,BCS3__Cow_53,Cow_53,0,3
0,test,BCS4__Cow_15_68,Cow_15,0,4
0,test,BCS4__Cow_17,Cow_17,0,4
0,test,BCS4__Cow_19,Cow_19,0,4
0,test,BCS4__Cow_19_0037,Cow_19,0,4
0,test,BCS4__Cow_2,Cow_2,0,4
0,test,BCS4__Cow_23,Cow_23,0,4
0,test,BCS4__Cow_31,Cow_31,0,4
0,test,BCS4__Cow_32_0035,Cow_32,0,4
0,test,BCS4__Cow_44_1,Cow_44,0,4
0,test,BCS4__Cow_51,Cow_51,0,4
0,test,BCS4__Cow_51_0035,Cow_51,0,4
0,test,BCS4__Cow_7,Cow_7,0,4
0,test,BCS5__Cow_15,Cow_15,0,5
0,test,BCS5__Cow_17_17,Cow_17,0,5
0,test,BCS5__Cow_21,Cow_21,0,5
0,test,BCS5__Cow_23_1067,Cow_23,0,5
0,test,BCS5__Cow_25,Cow_25,0,5
0,test,BCS5__Cow_31_15,Cow_31,0,5
0,test,BCS5__Cow_31_2024,Cow_31,0,5
0,test,BCS5__Cow_32,Cow_32,0,5
0,test,BCS5__Cow_44_3008,Cow_44,0,5
0,test,BCS5__Cow_45,Cow_45,0,5
0,test,BCS5__Cow_53_30,Cow_53,0,5
0,test,BCS5__Cow_7_6022,Cow_7,0,5
0,test,BCS6__Cow_16_06,Cow_16,0,6
0,test,BCS6__Cow_19_29,Cow_19,0,6
0,test,BCS6__Cow_2_6006,Cow_2,0,6
0,test,BCS6__Cow_32_34,Cow_32,0,6
0,test,BCS6__Cow_36,Cow_36,0,6
0,test,BCS6__Cow_36_1,Cow_36,0,6
0,test,BCS6__Cow_45_9025,Cow_45,0,6
0,test,BCS6__Cow_52_29,Cow_52,0,6
0,test,BCS6__Cow_7_9008,Cow_7,0,6
1,train,BCS2__Cow_21_8029,Cow_21,0,2
1,train,BCS3__Cow_16,Cow_16,0,3
1,train,BCS3__Cow_16_1004,Cow_16,0,3
1,train,BCS3__Cow_20_0029,Cow_20,2,3
1,train,BCS3__Cow_25_66,Cow_25,0,3
1,train,BCS3__Cow_2_1015,Cow_2,0,3
1,train,BCS3__Cow_46,Cow_46,0,3
1,train,BCS3__Cow_46_1,Cow_46,0,3
1,train,BCS3__Cow_46_2,Cow_46,0,3
1,train,BCS3__Cow_53,Cow_53,0,3
1,train,BCS4__Cow_15_68,Cow_15,0,4
1,train,BCS4__Cow_17,Cow_17,0,4
1,train,BCS4__Cow_2,Cow_2,0,4
1,train,BCS4__Cow_23,Cow_23,0,4
1,train,BCS4__Cow_30,Cow_30,2,4
1,train,BCS4__Cow_31,Cow_31,0,4
1,train,BCS4__Cow_42,Cow_42,2,4
1,train,BCS4__Cow_44_1,Cow_44,0,4
1,train,BCS4__Cow_47_1,Cow_47,2,4
1,train,BCS4__Cow_49,Cow_49,2,4
1,train,BCS4__Cow_51,Cow_51,0,4
1,train,BCS4__Cow_51_0035,Cow_51,0,4
1,train,BCS4__Cow_55,Cow_55,2,4
1,train,BCS4__Cow_9,Cow_9,2,4
1,train,BCS5__Cow_15,Cow_15,0,5
1,train,BCS5__Cow_17_17,Cow_17,0,5
1,train,BCS5__Cow_21,Cow_21,0,5
1,train,BCS5__Cow_23_1067,Cow_23,0,5
1,train,BCS5__Cow_24,Cow_24,2,5
1,train,BCS5__Cow_24_7022,Cow_24,2,5
1,train,BCS5__Cow_25,Cow_25,0,5
1,train,BCS5__Cow_28,Cow_28,2,5
1,train,BCS5__Cow_28_4024,Cow_28,2,5
1,train,BCS5__Cow_30_30,Cow_30,2,5
1,train,BCS5__Cow_31_15,Cow_31,0,5
1,train,BCS5__Cow_31_2024,Cow_31,0,5
1,train,BCS5__Cow_34,Cow_34,2,5
1,train,BCS5__Cow_34_1,Cow_34,2,5
1,train,BCS5__Cow_44_3008,Cow_44,0,5
1,train,BCS5__Cow_45,Cow_45,0,5
1,train,BCS5__Cow_50,Cow_50,2,5
1,train,BCS5__Cow_50_49,Cow_50,2,5
1,train,BCS5__Cow_53_30,Cow_53,0,5
1,train,BCS6__Cow_16_06,Cow_16,0,6
1,train,BCS6__Cow_18,Cow_18,2,6
1,train,BCS6__Cow_18_32,Cow_18,2,6
1,train,BCS6__Cow_24_08,Cow_24,2,6
1,train,BCS6__Cow_28_3083,Cow_28,2,6
1,train,BCS6__Cow_2_6006,Cow_2,0,6
1,train,BCS6__Cow_36,Cow_36,0,6
1,train,BCS6__Cow_36_1,Cow_36,0,6
1,train,BCS6__Cow_45_9025,Cow_45,0,6
1,train,BCS6__Cow_47_68,Cow_47,2,6
1,train,BCS6__Cow_52_29,Cow_52,0,6
1,train,BCS6__Cow_9_1044,Cow_9,2,6
1,validation,BCS2__Cow_5_1,Cow_5,2,2
1,validation,BCS3__Cow_22,Cow_22,2,3
1,validation,BCS3__Cow_22_1,Cow_22,2,3
1,validation,BCS4__Cow_10,Cow_10,2,4
1,validation,BCS4__Cow_10_2038,Cow_10,2,4
1,validation,BCS4__Cow_19,Cow_19,0,4
1,validation,BCS4__Cow_19_0037,Cow_19,0,4
1,validation,BCS4__Cow_22_6005,Cow_22,2,4
1,validation,BCS4__Cow_32_0035,Cow_32,0,4
1,validation,BCS4__Cow_7,Cow_7,0,4
1,validation,BCS4__Cow_8,Cow_8,2,4
1,validation,BCS5__Cow_10_0029,Cow_10,2,5
1,validation,BCS5__Cow_3,Cow_3,2,5
1,validation,BCS5__Cow_32,Cow_32,0,5
1,validation,BCS5__Cow_7_6022,Cow_7,0,5
1,validation,BCS5__Cow_8_NOTAG,Cow_8,2,5
1,validation,BCS6__Cow_19_29,Cow_19,0,6
1,validation,BCS6__Cow_32_34,Cow_32,0,6
1,validation,BCS6__Cow_3_25,Cow_3,2,6
1,validation,BCS6__Cow_7_9008,Cow_7,0,6
1,test,BCS2__Cow_11,Cow_11,1,2
1,test,BCS2__Cow_11_1,Cow_11,1,2
1,test,BCS2__Cow_11_2,Cow_11,1,2
1,test,BCS3__Cow_14,Cow_14,1,3
1,test,BCS3__Cow_14_0011,Cow_14,1,3
1,test,BCS3__Cow_6_103,Cow_6,1,3
1,test,BCS4__Cow_1,Cow_1,1,4
1,test,BCS4__Cow_26,Cow_26,1,4
1,test,BCS4__Cow_26_5051,Cow_26,1,4
1,test,BCS4__Cow_27_9008,Cow_27,1,4
1,test,BCS4__Cow_29_7007,Cow_29,1,4
1,test,BCS4__Cow_33,Cow_33,1,4
1,test,BCS4__Cow_4,Cow_4,1,4
1,test,BCS4__Cow_41,Cow_41,1,4
1,test,BCS4__Cow_48,Cow_48,1,4
1,test,BCS4__Cow_4_1,Cow_4,1,4
1,test,BCS4__Cow_6,Cow_6,1,4
1,test,BCS5__Cow_12_NOTAG,Cow_12,1,5
1,test,BCS5__Cow_13,Cow_13,1,5
1,test,BCS5__Cow_13_8001,Cow_13,1,5
1,test,BCS5__Cow_1_27,Cow_1,1,5
1,test,BCS5__Cow_27,Cow_27,1,5
1,test,BCS5__Cow_29,Cow_29,1,5
1,test,BCS5__Cow_37,Cow_37,1,5
1,test,BCS5__Cow_37_and_38,Cow_37,1,5
1,test,BCS5__Cow_43,Cow_43,1,5
1,test,BCS5__Cow_48_1018,Cow_48,1,5
1,test,BCS5__Cow_54,Cow_54,1,5
1,test,BCS5__Cow_6_5051,Cow_6,1,5
1,test,BCS6__Cow_11_07,Cow_11,1,6
1,test,BCS6__Cow_12_2014,Cow_12,1,6
1,test,BCS6__Cow_13_66,Cow_13,1,6
1,test,BCS6__Cow_26_6,Cow_26,1,6
1,test,BCS6__Cow_29_NOTAG,Cow_29,1,6
1,test,BCS6__Cow_35,Cow_35,1,6
1,test,BCS6__Cow_4_103,Cow_4,1,6
2,train,BCS2__Cow_11,Cow_11,1,2
2,train,BCS2__Cow_11_1,Cow_11,1,2
2,train,BCS2__Cow_11_2,Cow_11,1,2
2,train,BCS2__Cow_21_8029,Cow_21,0,2
2,train,BCS3__Cow_25_66,Cow_25,0,3
2,train,BCS3__Cow_46,Cow_46,0,3
2,train,BCS3__Cow_46_1,Cow_46,0,3
2,train,BCS3__Cow_46_2,Cow_46,0,3
2,train,BCS3__Cow_53,Cow_53,0,3
2,train,BCS3__Cow_6_103,Cow_6,1,3
2,train,BCS4__Cow_1,Cow_1,1,4
2,train,BCS4__Cow_15_68,Cow_15,0,4
2,train,BCS4__Cow_17,Cow_17,0,4
2,train,BCS4__Cow_19,Cow_19,0,4
2,train,BCS4__Cow_19_0037,Cow_19,0,4
2,train,BCS4__Cow_23,Cow_23,0,4
2,train,BCS4__Cow_26,Cow_26,1,4
2,train,BCS4__Cow_26_5051,Cow_26,1,4
2,train,BCS4__Cow_29_7007,Cow_29,1,4
2,train,BCS4__Cow_31,Cow_31,0,4
2,train,BCS4__Cow_32_0035,Cow_32,0,4
2,train,BCS4__Cow_33,Cow_33,1,4
2,train,BCS4__Cow_41,Cow_41,1,4
2,train,BCS4__Cow_44_1,Cow_44,0,4
2,train,BCS4__Cow_48,Cow_48,1,4
2,train,BCS4__Cow_6,Cow_6,1,4
2,train,BCS4__Cow_7,Cow_7,0,4
2,train,BCS5__Cow_12_NOTAG,Cow_12,1,5
2,train,BCS5__Cow_15,Cow_15,0,5
2,train,BCS5__Cow_17_17,Cow_17,0,5
2,train,BCS5__Cow_1_27,Cow_1,1,5
2,train,BCS5__Cow_21,Cow_21,0,5
2,train,BCS5__Cow_23_1067,Cow_23,0,5
2,train,BCS5__Cow_25,Cow_25,0,5
2,train,BCS5__Cow_29,Cow_29,1,5
2,train,BCS5__Cow_31_15,Cow_31,0,5
2,train,BCS5__Cow_31_2024,Cow_31,0,5
2,train,BCS5__Cow_32,Cow_32,0,5
2,train,BCS5__Cow_37,Cow_37,1,5
2,train,BCS5__Cow_37_and_38,Cow_37,1,5
2,train,BCS5__Cow_43,Cow_43,1,5
2,train,BCS5__Cow_44_3008,Cow_44,0,5
2,train,BCS5__Cow_45,Cow_45,0,5
2,train,BCS5__Cow_48_1018,Cow_48,1,5
2,train,BCS5__Cow_53_30,Cow_53,0,5
2,train,BCS5__Cow_6_5051,Cow_6,1,5
2,train,BCS5__Cow_7_6022,Cow_7,0,5
2,train,BCS6__Cow_11_07,Cow_11,1,6
2,train,BCS6__Cow_12_2014,Cow_12,1,6
2,train,BCS6__Cow_19_29,Cow_19,0,6
2,train,BCS6__Cow_26_6,Cow_26,1,6
2,train,BCS6__Cow_29_NOTAG,Cow_29,1,6
2,train,BCS6__Cow_32_34,Cow_32,0,6
2,train,BCS6__Cow_35,Cow_35,1,6
2,train,BCS6__Cow_36,Cow_36,0,6
2,train,BCS6__Cow_36_1,Cow_36,0,6
2,train,BCS6__Cow_45_9025,Cow_45,0,6
2,train,BCS6__Cow_52_29,Cow_52,0,6
2,train,BCS6__Cow_7_9008,Cow_7,0,6
2,validation,BCS3__Cow_14,Cow_14,1,3
2,validation,BCS3__Cow_14_0011,Cow_14,1,3
2,validation,BCS3__Cow_16,Cow_16,0,3
2,validation,BCS3__Cow_16_1004,Cow_16,0,3
2,validation,BCS3__Cow_2_1015,Cow_2,0,3
2,validation,BCS4__Cow_2,Cow_2,0,4
2,validation,BCS4__Cow_27_9008,Cow_27,1,4
2,validation,BCS4__Cow_4,Cow_4,1,4
2,validation,BCS4__Cow_4_1,Cow_4,1,4
2,validation,BCS4__Cow_51,Cow_51,0,4
2,validation,BCS4__Cow_51_0035,Cow_51,0,4
2,validation,BCS5__Cow_13,Cow_13,1,5
2,validation,BCS5__Cow_13_8001,Cow_13,1,5
2,validation,BCS5__Cow_27,Cow_27,1,5
2,validation,BCS5__Cow_54,Cow_54,1,5
2,validation,BCS6__Cow_13_66,Cow_13,1,6
2,validation,BCS6__Cow_16_06,Cow_16,0,6
2,validation,BCS6__Cow_2_6006,Cow_2,0,6
2,validation,BCS6__Cow_4_103,Cow_4,1,6
2,test,BCS2__Cow_5_1,Cow_5,2,2
2,test,BCS3__Cow_20_0029,Cow_20,2,3
2,test,BCS3__Cow_22,Cow_22,2,3
2,test,BCS3__Cow_22_1,Cow_22,2,3
2,test,BCS4__Cow_10,Cow_10,2,4
2,test,BCS4__Cow_10_2038,Cow_10,2,4
2,test,BCS4__Cow_22_6005,Cow_22,2,4
2,test,BCS4__Cow_30,Cow_30,2,4
2,test,BCS4__Cow_42,Cow_42,2,4
2,test,BCS4__Cow_47_1,Cow_47,2,4
2,test,BCS4__Cow_49,Cow_49,2,4
2,test,BCS4__Cow_55,Cow_55,2,4
2,test,BCS4__Cow_8,Cow_8,2,4
2,test,BCS4__Cow_9,Cow_9,2,4
2,test,BCS5__Cow_10_0029,Cow_10,2,5
2,test,BCS5__Cow_24,Cow_24,2,5
2,test,BCS5__Cow_24_7022,Cow_24,2,5
2,test,BCS5__Cow_28,Cow_28,2,5
2,test,BCS5__Cow_28_4024,Cow_28,2,5
2,test,BCS5__Cow_3,Cow_3,2,5
2,test,BCS5__Cow_30_30,Cow_30,2,5
2,test,BCS5__Cow_34,Cow_34,2,5
2,test,BCS5__Cow_34_1,Cow_34,2,5
2,test,BCS5__Cow_50,Cow_50,2,5
2,test,BCS5__Cow_50_49,Cow_50,2,5
2,test,BCS5__Cow_8_NOTAG,Cow_8,2,5
2,test,BCS6__Cow_18,Cow_18,2,6
2,test,BCS6__Cow_18_32,Cow_18,2,6
2,test,BCS6__Cow_24_08,Cow_24,2,6
2,test,BCS6__Cow_28_3083,Cow_28,2,6
2,test,BCS6__Cow_3_25,Cow_3,2,6
2,test,BCS6__Cow_47_68,Cow_47,2,6
2,test,BCS6__Cow_9_1044,Cow_9,2,6
