bag_id,split_group_id,group_name,animal_id_guess,bcs_raw,label5,label3,is_high,rgb_count,npy_count,paired_count,missing_npy_count,duplicate_npy_keys
BCS3__Cow_46_1,Cow_46,Cow_46_1,Cow_46,3,1,0,0,39,39,39,0,
BCS3__Cow_46_2,Cow_46,Cow_46_2,Cow_46,3,1,0,0,6,6,6,0,
BCS3__Cow_53,Cow_53,Cow_53,Cow_53,3,1,0,0,7,7,7,0,
BCS4__Cow_1,Cow_1,Cow_1,Cow_1,4,2,1,0,19,19,19,0,
BCS4__Cow_1_6006,Cow_1_6006,Cow_1_6006,Cow_1_6006,4,2,1,0,4,4,4,0,
BCS4__Cow_2,Cow_2,Cow_2,Cow_2,4,2,1,0,15,15,15,0,
BCS4__Cow_2_6016,Cow_2_6016,Cow_2_6016,Cow_2_6016,4,2,1,0,2,2,2,0,
BCS4__Cow_3_6018,Cow_3_6018,Cow_3_6018,Cow_3_6018,4,2,1,0,1,1,1,0,
BCS4__Cow_4,Cow_4,Cow_4,Cow_4,4,2,1,0,4,4,4,0,
BCS4__Cow_4_1,Cow_4,Cow_4_1,Cow_4,4,2,1,0,39,39,39,0,
BCS4__Cow_5_273,Cow_5_273,Cow_5_273,Cow_5_273,4,2,1,0,3,3,3,0,
BCS4__Cow_5_1018,Cow_5_1018,Cow_5_1018,Cow_5_1018,4,2,1,0,2,2,2,0,
BCS4__Cow_6,Cow_6,Cow_6,Cow_6,4,2,1,0,42,42,42,0,
BCS4__Cow_7,Cow_7,Cow_7,Cow_7,4,2,1,0,18,18,18,0,
BCS4__Cow_7_06,Cow_7,Cow_7_06,Cow_7,4,2,1,0,4,4,4,0,
BCS4__Cow_8,Cow_8,Cow_8,Cow_8,4,2,1,0,39,39,39,0,
BCS4__Cow_8_9012,Cow_8_9012,Cow_8_9012,Cow_8_9012,4,2,1,0,4,4,4,0,
BCS4__Cow_9,Cow_9,Cow_9,Cow_9,4,2,1,0,26,26,26,0,
BCS4__Cow_9_NOTAG,Cow_9_NOTAG,Cow_9_NOTAG,Cow_9_NOTAG,4,2,1,0,4,4,4,0,
BCS4__Cow_10,Cow_10,Cow_10,Cow_10,4,2,1,0,72,72,72,0,
BCS4__Cow_10_1,Cow_10,Cow_10_1,Cow_10,4,2,1,0,16,16,16,0,
BCS4__Cow_10_0014,Cow_10,Cow_10_0014,Cow_10,4,2,1,0,3,3,3,0,
BCS4__Cow_10_2038,Cow_10_2038,Cow_10_2038,Cow_10_2038,4,2,1,0,4,4,4,0,
BCS4__Cow_11_0018,Cow_11_0018,Cow_11_0018,Cow_11_0018,4,2,1,0,4,4,4,0,
BCS4__Cow_11_0075,Cow_11_0075,Cow_11_0075,Cow_11_0075,4,2,1,0,4,4,4,0,
BCS4__Cow_13_9025,Cow_13_9025,Cow_13_9025,Cow_13_9025,4,2,1,0,4,4,4,0,
BCS4__Cow_15_68,Cow_15_68,Cow_15_68,Cow_15_68,4,2,1,0,3,3,3,0,
BCS4__Cow_17,Cow_17,Cow_17,Cow_17,4,2,1,0,26,26,26,0,
BCS4__Cow_18_1067,Cow_18_1067,Cow_18_1067,Cow_18_1067,4,2,1,0,2,2,2,0,
BCS4__Cow_19,Cow_19,Cow_19,Cow_19,4,2,1,0,65,65,65,0,
BCS4__Cow_19_0037,Cow_19_0037,Cow_19_0037,Cow_19_0037,4,2,1,0,6,6,6,0,
BCS4__Cow_22_6005,Cow_22_6005,Cow_22_6005,Cow_22_6005,4,2,1,0,5,5,5,0,
BCS4__Cow_23,Cow_23,Cow_23,Cow_23,4,2,1,0,42,42,42,0,
BCS4__Cow_23_1,Cow_23,Cow_23_1,Cow_23,4,2,1,0,38,38,38,0,
BCS4__Cow_26,Cow_26,Cow_26,Cow_26,4,2,1,0,15,15,15,0,
BCS4__Cow_26_5051,Cow_26_5051,Cow_26_5051,Cow_26_5051,4,2,1,0,12,12,12,0,
BCS4__Cow_27_9008,Cow_27_9008,Cow_27_9008,Cow_27_9008,4,2,1,0,7,7,7,0,
BCS4__Cow_29_7007,Cow_29_7007,Cow_29_7007,Cow_29_7007,4,2,1,0,5,5,5,0,
BCS4__Cow_30,Cow_30,Cow_30,Cow_30,4,2,1,0,14,14,14,0,
BCS4__Cow_31,Cow_31,Cow_31,Cow_31,4,2,1,0,13,13,13,0,
BCS4__Cow_32_0035,Cow_32_0035,Cow_32_0035,Cow_32_0035,4,2,1,0,8,8,8,0,
BCS4__Cow_33,Cow_33,Cow_33,Cow_33,4,2,1,0,105,105,105,0,
BCS4__Cow_35_1044,Cow_35_1044,Cow_35_1044,Cow_35_1044,4,2,1,0,3,3,3,0,
BCS4__Cow_41,Cow_41,Cow_41,Cow_41,4,2,1,0,61,61,61,0,
BCS4__Cow_41_1,Cow_41,Cow_41_1,Cow_41,4,2,1,0,4,4,4,0,
BCS4__Cow_42,Cow_42,Cow_42,Cow_42,4,2,1,0,27,27,27,0,
BCS4__Cow_44_1,Cow_44_1,Cow_44_1,Cow_44_1,4,2,1,0,46,46,46,0,
BCS4__Cow_47_1,Cow_47_1,Cow_47_1,Cow_47_1,4,2,1,0,7,7,7,0,
BCS4__Cow_48,Cow_48,Cow_48,Cow_48,4,2,1,0,13,13,13,0,
BCS4__Cow_49,Cow_49,Cow_49,Cow_49,4,2,1,0,9,9,9,0,
BCS4__Cow_51,Cow_51,Cow_51,Cow_51,4,2,1,0,4,4,4,0,
BCS4__Cow_51_0035,Cow_51_0035,Cow_51_0035,Cow_51_0035,4,2,1,0,5,5,5,0,
BCS4__Cow_55,Cow_55,Cow_55,Cow_55,4,2,1,0,5,5,5,0,
BCS5__Cow_1_27,Cow_1_27,Cow_1_27,Cow_1_27,5,3,1,0,4,4,4,0,
BCS5__Cow_3,Cow_3,Cow_3,Cow_3,5,3,1,0,19,19,19,0,
BCS5__Cow_4_8036,Cow_4_8036,Cow_4_8036,Cow_4_8036,5,3,1,0,2,2,2,0,
BCS5__Cow_6_5029,Cow_6_5029,Cow_6_5029,Cow_6_5029,5,3,1,0,4,4,4,0,
BCS5__Cow_6_5051,Cow_6_5051,Cow_6_5051,Cow_6_5051,5,3,1,0,5,5,5,0,
BCS5__Cow_7_6022,Cow_7_6022,Cow_7_6022,Cow_7_6022,5,3,1,0,4,4,4,0,
BCS5__Cow_8_NOTAG,Cow_8_NOTAG,Cow_8_NOTAG,Cow_8_NOTAG,5,3,1,0,7,7,7,0,
BCS5__Cow_9_NOTG,Cow_9_NOTG,Cow_9_NOTG,Cow_9_NOTG,5,3,1,0,2,2,2,0,
BCS5__Cow_10_0029,Cow_10_0029,Cow_10_0029,Cow_10_0029,5,3,1,0,7,7,7,0,
BCS5__Cow_12_6006,Cow_12_6006,Cow_12_6006,Cow_12_6006,5,3,1,0,3,3,3,0,
BCS5__Cow_12_NOTAG,Cow_12_NOTAG,Cow_12_NOTAG,Cow_12_NOTAG,5,3,1,0,4,4,4,0,
BCS5__Cow_13,Cow_13,Cow_13,Cow_13,5,3,1,0,23,23,23,0,
BCS5__Cow_13_8001,Cow_13_8001,Cow_13_8001,Cow_13_8001,5,3,1,0,4,4,4,0,
BCS5__Cow_14_1044,Cow_14_1044,Cow_14_1044,Cow_14_1044,5,3,1,0,3,3,3,0,
BCS5__Cow_15,Cow_15,Cow_15,Cow_15,5,3,1,0,29,29,29,0,
BCS5__Cow_17_17,Cow_17_17,Cow_17_17,Cow_17_17,5,3,1,0,8,8,8,0,
BCS5__Cow_17_72,Cow_17_72,Cow_17_72,Cow_17_72,5,3,1,0,3,3,3,0,
BCS5__Cow_20,Cow_20,Cow_20,Cow_20,5,3,1,0,18,18,18,0,
BCS5__Cow_20_10,Cow_20,Cow_20_10,Cow_20,5,3,1,0,2,2,2,0,
BCS5__Cow_21,Cow_21,Cow_21,Cow_21,5,3,1,0,26,26,26,0,
BCS5__Cow_21_4079,Cow_21_4079,Cow_21_4079,Cow_21_4079,5,3,1,0,2,2,2,0,
BCS5__Cow_23_49,Cow_23_49,Cow_23_49,Cow_23_49,5,3,1,0,3,3,3,0,
BCS5__Cow_23_1067,Cow_23_1067,Cow_23_1067,Cow_23_1067,5,3,1,0,5,5,5,0,
BCS5__Cow_24,Cow_24,Cow_24,Cow_24,5,3,1,0,25,25,25,0,
BCS5__Cow_24_7022,Cow_24_7022,Cow_24_7022,Cow_24_7022,5,3,1,0,4,4,4,0,
BCS5__Cow_25,Cow_25,Cow_25,Cow_25,5,3,1,0,66,66,66,0,
BCS5__Cow_25_6005,Cow_25_6005,Cow_25_6005,Cow_25_6005,5,3,1,0,4,4,4,0,
BCS5__Cow_27,Cow_27,Cow_27,Cow_27,5,3,1,0,42,42,42,0,
BCS5__Cow_27_1,Cow_27,Cow_27_1,Cow_27,5,3,1,0,2,2,2,0,
BCS5__Cow_27_14,Cow_27,Cow_27_14,Cow_27,5,3,1,0,2,2,2,0,
BCS5__Cow_28,Cow_28,Cow_28,Cow_28,5,3,1,0,30,30,30,0,
BCS5__Cow_28_4024,Cow_28_4024,Cow_28_4024,Cow_28_4024,5,3,1,0,6,6,6,0,
BCS5__Cow_29,Cow_29,Cow_29,Cow_29,5,3,1,0,30,30,30,0,
BCS5__Cow_30_30,Cow_30_30,Cow_30_30,Cow_30_30,5,3,1,0,7,7,7,0,
BCS5__Cow_30_2021,Cow_30_2021,Cow_30_2021,Cow_30_2021,5,3,1,0,3,3,3,0,
BCS5__Cow_31_15,Cow_31_15,Cow_31_15,Cow_31_15,5,3,1,0,4,4,4,0,
BCS5__Cow_31_2024,Cow_31_2024,Cow_31_2024,Cow_31_2024,5,3,1,0,5,5,5,0,
BCS5__Cow_32,Cow_32,Cow_32,Cow_32,5,3,1,0,15,15,15,0,
BCS5__Cow_34,Cow_34,Cow_34,Cow_34,5,3,1,0,40,40,40,0,
BCS5__Cow_34_1,Cow_34,Cow_34_1,Cow_34,5,3,1,0,18,18,18,0,
BCS5__Cow_37,Cow_37,Cow_37,Cow_37,5,3,1,0,28,28,28,0,
BCS5__Cow_37_and_38,Cow_37_and_38,Cow_37_and_38,Cow_37_and_38,5,3,1,0,24,24,24,0,
BCS5__Cow_43,Cow_43,Cow_43,Cow_43,5,3,1,0,38,38,38,0,
BCS5__Cow_44_3008,Cow_44_3008,Cow_44_3008,Cow_44_3008,5,3,1,0,10,10,10,0,
BCS5__Cow_45,Cow_45,Cow_45,Cow_45,5,3,1,0,25,25,25,0,
BCS5__Cow_48_1018,Cow_48_1018,Cow_48_1018,Cow_48_1018,5,3,1,0,3,3,3,0,
BCS5__Cow_49_72,Cow_49_72,Cow_49_72,Cow_49_72,5,3,1,0,2,2,2,0,
BCS5__Cow_50,Cow_50,Cow_50,Cow_50,5,3,1,0,39,39,39,0,
BCS5__Cow_50_49,Cow_50_49,Cow_50_49,Cow_50_49,5,3,1,0,3,3,3,0,
BCS5__Cow_53_30,Cow_53_30,Cow_53_30,Cow_53_30,5,3,1,0,13,13,13,0,
BCS5__Cow_54,Cow_54,Cow_54,Cow_54,5,3,1,0,7,7,7,0,
BCS6__Cow_2_6006,Cow_2_6006,Cow_2_6006,Cow_2_6006,6,4,2,1,31,31,31,0,
BCS6__Cow_3_25,Cow_3_25,Cow_3_25,Cow_3_25,6,4,2,1,46,46,46,0,
BCS6__Cow_4_103,Cow_4_103,Cow_4_103,Cow_4_103,6,4,2,1,61,61,61,0,
BCS6__Cow_7_9008,Cow_7_9008,Cow_7_9008,Cow_7_9008,6,4,2,1,61,61,61,0,
BCS6__Cow_9_1044,Cow_9_1044,Cow_9_1044,Cow_9_1044,6,4,2,1,46,46,46,0,
BCS6__Cow_11_07,Cow_11_07,Cow_11_07,Cow_11_07,6,4,2,1,41,41,41,0,
BCS6__Cow_12_2014,Cow_12_2014,Cow_12_2014,Cow_12_2014,6,4,2,1,49,49,49,0,
BCS6__Cow_13_66,Cow_13_66,Cow_13_66,Cow_13_66,6,4,2,1,46,46,46,0,
BCS6__Cow_16_06,Cow_16_06,Cow_16_06,Cow_16_06,6,4,2,1,76,76,76,0,
BCS6__Cow_18,Cow_18,Cow_18,Cow_18,6,4,2,1,46,46,46,0,
BCS6__Cow_18_32,Cow_18_32,Cow_18_32,Cow_18_32,6,4,2,1,57,57,57,0,
BCS6__Cow_19_29,Cow_19_29,Cow_19_29,Cow_19_29,6,4,2,1,61,61,61,0,
BCS6__Cow_22_1004,Cow_22_1004,Cow_22_1004,Cow_22_1004,6,4,2,1,16,16,16,0,
BCS6__Cow_24_08,Cow_24_08,Cow_24_08,Cow_24_08,6,4,2,1,31,31,31,0,
BCS6__Cow_26_6,Cow_26_6,Cow_26_6,Cow_26_6,6,4,2,1,61,61,61,0,
BCS6__Cow_28_3083,Cow_28_3083,Cow_28_3083,Cow_28_3083,6,4,2,1,46,46,46,0,
BCS6__Cow_29_NOTAG,Cow_29_NOTAG,Cow_29_NOTAG,Cow_29_NOTAG,6,4,2,1,46,46,46,0,
BCS6__Cow_32_34,Cow_32_34,Cow_32_34,Cow_32_34,6,4,2,1,61,61,61,0,
BCS6__Cow_35,Cow_35,Cow_35,Cow_35,6,4,2,1,45,45,45,0,
BCS6__Cow_36,Cow_36,Cow_36,Cow_36,6,4,2,1,45,45,45,0,
BCS6__Cow_36_1,Cow_36,Cow_36_1,Cow_36,6,4,2,1,50,50,50,0,
BCS6__Cow_45_9025,Cow_45_9025,Cow_45_9025,Cow_45_9025,6,4,2,1,46,46,46,0,
BCS6__Cow_47_68,Cow_47_68,Cow_47_68,Cow_47_68,6,4,2,1,31,31,31,0,
BCS6__Cow_52_29,Cow_52_29,Cow_52_29,Cow_52_29,6,4,2,1,61,61,61,0,
